order,weekday,time_of_day,hour,active_agents,on_calls,ready_for_calls,not_ready,calls_in_queue,busiest_section,month,day,oncalls+ready:not_ready,avg_ratio,ready:not_ready
1,Monday,8:05:00 AM,8,94,31,37,26,0,Customer Care,1,15,2.62,2.62,1.42
2,Monday,9:02:00 AM,9,118,68,19,31,0,Customer Care,1,15,2.81,2.71,0.61
3,Monday,10:11:00 AM,10,123,42,34,47,0,Customer Care,1,15,1.62,2.35,0.72
4,Monday,11:01:00 AM,11,124,55,26,43,2,Customer Care,1,15,1.88,2.23,0.60
5,Monday,12:07:00 PM,12,129,47,32,50,0,Customer Care,1,15,1.58,2.10,0.64
6,Monday,2:05:00 PM,14,121,52,39,30,0,Customer Care,1,15,3.03,2.26,1.30
7,Monday,3:44:00 PM,15,87,26,38,23,0,Customer Care/New Sales,1,15,2.78,2.33,1.65
8,Tuesday,8:08:00 AM,8,115,32,53,30,1,Customer Care,1,16,2.83,2.39,1.77
9,Tuesday,9:02:00 AM,9,131,58,49,24,0,Customer Care,1,16,4.46,2.62,2.04
10,Tuesday,10:04:00 AM,10,133,34,38,61,0,Customer Care,1,16,1.18,2.48,0.62
11,Tuesday,12:40:00 PM,12,140,46,24,70,2,Customer Care,1,16,1.00,2.34,0.34
12,Tuesday,1:33:00 PM,13,135,44,51,40,4,Customer Care,1,16,2.38,2.35,1.28
13,Tuesday,2:17:00 PM,14,141,61,29,51,0,Customer Care,1,16,1.76,2.30,0.57
14,Tuesday,3:04:00 PM,15,115,35,24,56,3,PC Phone Support,1,16,1.05,2.21,0.43
15,Tuesday,4:11:00 PM,16,80,33,22,25,0,Customer Care,1,16,2.20,2.21,0.88
16,Wednesday,7:56:00 AM,7,80,44,20,16,0,Customer Care/New Sales,1,17,4.00,2.32,1.25
17,Wednesday,8:30:00 AM,8,112,44,50,18,0,PC Phone Support,1,17,5.22,2.49,2.78
18,Wednesday,10:03:00 AM,10,128,61,27,40,0,Customer Care,1,17,2.20,2.48,0.68
19,Wednesday,11:02:00 AM,11,137,49,33,55,0,Customer Care,1,17,1.49,2.43,0.60
20,Wednesday,12:07:00 PM,12,140,45,43,52,0,PC Phone Support,1,17,1.69,2.39,0.83
21,Wednesday,1:02:00 PM,13,135,43,42,50,0,Customer Care,1,17,1.70,2.36,0.84
